smiles,mw,logp,nrot,nhacc,nhdon
Cc1ncc([N+](=O)[O-])n1CC(=O)O,185.13899999999998,0.18431999999999987,3,5,1
O=c1ccn(F)c2ccccc12,163.151,1.7341,0,2,0
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,184.10699999999997,1.2086,2,5,1
Oc1ccc2ccccc2c1,144.17299999999997,2.5454,0,1,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2OC(C)=O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,775.9740000000002,2.3564000000000047,8,15,4
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,224.287,1.9818999999999996,0,2,2
CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,1189.472,-5.634900000000006,28,18,18
O=[N+]([O-])c1cnc(CO)n1CCO,187.15499999999997,-0.7241000000000002,4,6,2
Cc1cc(O)ccc1Cl,142.58499999999998,2.3540200000000002,0,1,1
CC[C@@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,374.4120000000002,3.4186000000000023,5,5,1
Nc1c2ccccc2nc2ccccc12,194.237,2.970200000000001,0,2,1
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,309.34700000000004,1.6154400000000002,3,6,1
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],468.9920000000002,1.5383,0,5,4
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1255.4379999999994,0.7256400000000032,8,18,5
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,196.14299999999997,-1.0265,3,3,4
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@H]1C,697.9510000000001,5.196700000000007,8,11,2
CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,325.4339999999999,1.4062000000000001,3,4,1
CN(C)[C@@H]1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12,429.4290000000002,-1.550799999999998,2,9,4
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.6080000000002,-8.424200000000015,10,17,13
Nc1ccc(C(=O)O)c(O)c1,153.137,0.6726000000000001,1,3,3
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.4110000000001,0.023700000000000443,4,6,4
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.0910000000002,0.7117000000000053,3,17,12
